,id,folder,text_count,keystroke_count,text_len_mean,t10000_mean
0,0,01894,10,48735.0,106.88328767123282,405.80527341746176
1,1,025a2,8,31675.0,118.6391061452514,668.3587687450671
2,2,032b3,3,18847.0,95.3431952662722,783.2326630232927
3,3,04022,9,38237.0,140.54040404040398,502.2096137249262
4,4,04442,8,24499.0,128.6568862275449,361.65635332054364
5,5,09d26,3,9373.0,124.07142857142857,506.336071695295
6,6,0a79c,12,84554.0,162.03456790123457,471.4784279868488
7,7,0b0cc,10,26688.0,112.82142857142851,385.1695143884892
8,8,0dd5d,10,52875.0,133.0657439446367,569.8832340425532
9,9,154ae,10,28252.0,119.07374999999998,673.7012600877814
10,10,17144,9,41861.0,91.64955089820356,478.8909486156567
11,11,173a6,3,23918.0,148.89303278688524,752.5663517016471
12,12,198f0,10,40410.0,104.69039145907473,435.07619401138334
13,13,1a724,10,44495.0,134.6441588785047,448.79004382514887
14,14,1d038,10,42713.0,123.98367346938775,438.5506286142392
15,15,1dd6c,10,58213.0,159.11841155234654,505.69218215862435
16,16,1f1e3,10,64976.0,121.66739726027402,468.5697642206353
17,17,1fe5a,8,18066.0,109.02525252525251,497.4662349164176
18,18,249aa,9,27019.0,100.24623115577887,822.8639475924349
19,19,27378,10,104456.0,123.36217303822944,661.5246419545073
20,20,28517,10,46574.0,128.91617161716172,528.4113239146303
21,21,2857a,10,38284.0,159.74999999999997,561.082776094452
22,22,2c6f4,9,29273.0,89.75515695067267,452.2958357530831
23,23,30f8c,8,29310.0,147.518954248366,509.7564653701808
24,24,323ea,10,48452.0,117.62019543973943,597.1626764633039
25,25,33350,16,73455.0,112.64822429906548,557.6252263290451
26,26,3525c,11,41553.0,112.33308823529416,626.4803263302289
27,27,37170,11,77145.0,145.34310850439888,512.7997407479422
28,28,37ffb,10,43021.0,106.39249999999996,431.9851932777016
29,29,3d5a7,10,83575.0,106.80579216354342,355.53364044271615
30,30,42b31,10,69099.0,139.5938566552901,457.5227137874643
31,31,42c63,10,30175.0,133.22513089005236,508.72400994200495
32,32,43b9b,10,53774.0,101.94497716894976,232.94467586566003
33,33,441b3,11,47236.0,117.40213523131672,500.94711660597847
34,34,46576,1,2873.0,96.84,400.34110685694395
35,35,46bff,11,104097.0,113.81538461538472,672.3530072912764
36,36,4fa82,9,25000.0,99.3173184357542,548.99004
37,37,53396,7,36044.0,111.27932489451477,498.46593052935305
38,38,54d18,10,32988.0,102.88991596638658,530.8973566145265
39,39,55b4c,1,6338.0,128.02777777777777,328.29299463553167
40,40,58b45,8,31532.0,114.85665024630545,506.49245211214
41,41,5989b,10,33619.0,115.08565737051792,378.08807519557394
42,42,5add5,9,29405.0,82.99775280898875,341.63223941506544
43,43,5c46a,10,57852.0,122.19649122807024,545.5139321026066
