text,start_pos,end_pos,path,id,text_len,t_filter_10000
1.,0,2,../../preprocess/data/1.txt,0,2.0,42722.0
"D finition of Contrastive Linguistics (CL) and a short historical background of CL reseach: 
     Contrastive Linguistic is a systematic comparison of two languages, including the aim to identify and describe their similarities and differences.",3,247,../../preprocess/data/1.txt,1,244.0,332769.0
It's originated in the 1940's and 1960's with an educational approach  The approach is about the difficulty of second language learning.,248,384,../../preprocess/data/1.txt,2,136.0,374362.0
It's about the transfer and tendancy of L2-learners to reuse structures of their L1.,385,469,../../preprocess/data/1.txt,3,84.0,195746.0
The focus has been the negative transfer of the structure.,470,528,../../preprocess/data/1.txt,4,58.0,269733.0
"Later, in empirical studies, a difference between the problems which has been forcasted and the ones that act aly occured.",529,651,../../preprocess/data/1.txt,5,122.0,375617.0
In the 1980's the branch of comparative linguisics became theoreticaly.,652,723,../../preprocess/data/1.txt,6,71.0,167184.0
A  ew framework was adopted to classify these contrasts and similarities which have been observed under investigation.,724,842,../../preprocess/data/1.txt,7,118.0,378713.0
2.,844,846,../../preprocess/data/1.txt,8,2.0,145895.0
Sketch the major morphological differences between English and German.,847,917,../../preprocess/data/1.txt,9,70.0,293171.0
"Focus on at least two differences:
         English: 
             - Articles and adjectives aren't marked for case
             - Nouns can only occur in two different forms - marked for cases or marked for possessives
             - Pronouns can have an additional object form
         German: 
             - concord
             - government
          The  ontrast between the two languages is that german has retained numerous inflectional endings to mark mood, number and person.",918,1403,../../preprocess/data/1.txt,10,485.0,699914.0
English however has a higher degree of analyticity.,1404,1455,../../preprocess/data/1.txt,11,51.0,193315.0
3.,1457,1459,../../preprocess/data/1.txt,12,2.0,145435.0
Sketch the major word order differences between English and German and discuss constraints and options these differences give rise to.,1460,1594,../../preprocess/data/1.txt,13,134.0,216558.0
Where English is characterised by its fixed word order without inflections  German is relatively free in its word order.,1595,1715,../../preprocess/data/1.txt,14,120.0,256490.0
"English developed new orders, therefore there are defts and pseudo-defts.",1716,1789,../../preprocess/data/1.txt,15,73.0,305638.0
